Player,Handle,Followers,Rename
Matt Lashoff,MattLashoff,13847,NA
Matthew Calvert,mattcalvert11,20832,NA
Mattias Ritola,ritto21,6553,NA
Max Talbot,Max25talbot,209034,NA
Michael Kostka,Kostka85,26094,NA
Michael Latta,Latta17,31431,NA
michael raffl,michaelRaffl,12319,Michael Raffl
Michael Richards,MRichie_10,167033,NA
Mike Knuble,MikeKnuble22,21384,NA
Mike Komisarek,mkomisarek,46516,NA
Mike Weaver,mikeweaver_43,43607,NA
Mikkel boedker,Mikkelboedker,12777,NA
Morgan Ellis,MorganEllis4,13086,NA
morgan rielly,mriles4,92126,Morgan Rielly
Nathan Gerbe,NathanGerbe14,7785,NA
Nathan Mackinnon,Mackinnon9,138353,NA
Nathan Thompson,NateThompson44,17854,NA
Nic Kerdiles,NicKerdiles,3823,NA
Nick Sorensen,NickSorensen94,4019,NA
Nick Spaling,Spals88,13142,NA
Oskar Sundqvist,sundqvist32,9597,NA
P-A Parenteau,PAParenteau,55197,P.A. Parenteau
Pascal Dupuis,Duper0009,51121,NA
Pat Maroon,patmaroon,25566,NA
Patrick Brown,PattyBrown36,1898,NA
Patrick Cannone,Pistolpat20,2116,NA
Patrick Dwyer,pattydwyer39,13768,NA
Patrick Kaleta,patrick_kaleta,13189,NA
Patrik Elias,pelias,26994,NA
Paul Carey,PaulCarey28,2241,NA
Pavel Datsyuk,Datsyuk13,277859,NA
Pierre-E Bellemare,bellsy78,9426,Pierre-Edouard Bellemare
Quinton Howden,qhowden21,5348,NA
Raphael Diaz,diaz_raphael_61,27871,NA
Rasmus Asplund,raasmusaasplunf,4091,NA
RealPatrickEaves,Patrick_Eaves,5422,NA
Richard Bachman,Bacher31,10457,NA
RJ Umberger,Umby18,39933,R.J. Umberger
Rob Schremp,RobSchremp,19603,NA
robert bortuzzo,rbontuzzo21,32826,Robert Bortuzzo
Robert Mikkelson,Bmikk29,3276,NA
Ryan Bourque,RyanBourque91,10220,NA
Ryan Carter,CartersStache,1818,NA
Ryan Malone,Bugsy12Malone,22387,NA
Ryan O'Byrne,ryanobyrne84,19772,NA
Ryan Pulock,rpulock,9817,NA
Ryan Shannon,ryanshannon22,14001,NA
Sami LepistÌ_,SamiLepisto,49955,NA
Scott Laughton,Laughts21,25235,NA
Scott Wedgewood,wedgewall,4051,NA
Sebastian Collberg,collberg49,10278,NA
Shane O'Brien,ShaneOBrien55,48162,NA
Sheldon Souray,SSouray,40516,NA
Simon Despres,Despres747,41942,NA
Stanislav Galiev,Galixon_97,10934,NA
Stefan Elliott,stefelliott6,4627,NA
Steve Downie,stevedownie23,13288,NA
Steve Sullivan,Sullivan26,43235,NA
Steven Kampfer,SteveKampfer47,20050,NA
Steven Oleksy,StevenOleksy,22740,NA
Steven Stamkos,RealStamkos91,508066,NA
Strombone,strombone1,711831,NA
Stu Bickel,StuBickel,28448,NA
Tanner Glass,TGlass15,54248,NA
Taylor Beck,taybeckone9,5934,NA
Teddy Purcell,teddypurcell16,40695,NA
Theo Peckham,PECKS24,20959,NA
Tim Bozon,timbozon94,21449,NA
Tim Stapleton,Bluce_Reee,14793,NA
TJ Galiardi,TJGaliardi,41856,NA
TJ Oshie,TJOshie77,375700,T.J. Oshie
Tobi Rieder,TobiRieder9,4996,NA
Toby Petersen,TeeP17,3282,NA
Tom KÌ_hnhackl,Tkuhn14,12545,Tom Kuhnhackl
Tom Sestito,TomSestito23,40071,NA
TomÌÁÅÁ Hertl,TomasHertl48,74980,Tomas Hertl
Travis Moen,32trapper,39791,NA
trevor lewis,trevorlewis22,28117,Trevor Lewis
Troy Grosenick,TGrose1,3604,NA
Tye McGinn,TyeMcGinn,17258,NA
Victor Bartley,VicBartley8,8096,NA
Vincent Lecavalier,VLecavalier4,89043,NA
Vinny Lecavalier Fdn,Lecavalier_Fdn,4613,NA
Vlad Namestnikov,Vladdy18,13333,NA
VT3,trocheck_89,5822,Vincent Trocheck
Willie Mitchell,Willie_Mitch33,36413,NA
Wojtek Wolski,WojtekWolski86,23479,NA
xavier ouellet,The_XMan16,6644,Xavier Ouellet
Zac Dalpe,ZacDalpe22,18717,NA
Zac Rinaldo,RinaldoZac,71199,NA
Zach Boychuk,ZachBoychuk,549675,NA
zack kassian,zkassian9,59204,Zack Kassian
Zenon Konopka,ZenonKonopka,29840,NA
